Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt
1,Walter Payton*\PaytWa00,1977,23,1-4,CHI,NFL,14,14,339,1852,5.46,14,132.3,,27,269,9.96,2,19.2,,
2,Mark van Eeghen\VanEMa00,1977,25,3-75,OAK,NFL,14,14,324,1273,3.93,7,90.9,,15,135,9.00,0,9.6,,
3,Lawrence McCutcheon\McCuLa00,1977,27,3-70,RAM,NFL,14,14,294,1238,4.21,7,88.4,,25,274,10.96,2,19.6,,
4,Franco Harris*\HarrFr00,1977,27,1-13,PIT,NFL,14,14,300,1162,3.87,11,83.0,,11,62,5.64,0,4.4,,
5,Lydell Mitchell\MitcLy00,1977,28,2-48,BAL,NFL,14,14,301,1159,3.85,3,82.8,,71,620,8.73,4,44.3,,
6,Chuck Foreman\ForeCh00,1977,27,1-12,MIN,NFL,14,14,270,1112,4.12,6,79.4,,38,308,8.11,3,22.0,,
7,Greg Pruitt\PruiGr00,1977,26,2-30,CLE,NFL,14,14,236,1086,4.60,3,77.6,,37,471,12.73,1,33.6,,
8,Sam Cunningham\CunnSa00,1977,27,1-11,NWE,NFL,14,14,270,1015,3.76,4,72.5,,42,370,8.81,1,26.4,,
9,Tony Dorsett*\DorsTo00,1977,23,1-2,DAL,NFL,14,4,208,1007,4.84,12,71.9,,29,273,9.41,1,19.5,,
10,Delvin Williams\WillDe01,1977,26,2-49,SFO,NFL,14,14,268,931,3.47,7,66.5,,20,179,8.95,2,12.8,,
11,Haskel Stanback\StanHa00,1977,25,5-114,ATL,NFL,14,14,247,873,3.53,6,62.4,,30,261,8.70,0,18.6,,
12,Chuck Muncie\MuncCh00,1977,24,1-3,NOR,NFL,14,11,201,811,4.03,6,57.9,,21,248,11.81,1,17.7,,
13,Mike Thomas\ThomMi00,1977,24,5-108,WAS,NFL,13,13,228,806,3.54,3,62.0,,28,245,8.75,2,18.8,,
14,Clarence Davis\DaviCl00,1977,28,4-97,OAK,NFL,14,14,194,787,4.06,5,56.2,,16,124,7.75,0,8.9,,
15,Wilbur Jackson\JackWi01,1977,26,1-9,SFO,NFL,14,14,179,780,4.36,7,55.7,,22,169,7.68,0,12.1,,
16,Sherman Smith\SmitSh00,1977,23,2-58,SEA,NFL,14,14,163,763,4.68,4,54.5,,30,419,13.97,2,29.9,,
17,Cleo Miller\MillCl00,1977,25,,CLE,NFL,14,14,163,756,4.64,4,54.0,,41,291,7.10,1,20.8,,
18,Terry Metcalf\MetcTe00,1977,26,3-63,STL,NFL,14,11,149,739,4.96,4,52.8,,34,403,11.85,2,28.8,,
19,Don Calhoun\CalhDo00,1977,25,10-249,NWE,NFL,14,14,198,727,3.67,4,51.9,,13,152,11.69,0,10.9,,
20,Robert Newhouse\NewhRo00,1977,27,2-35,DAL,NFL,14,14,180,721,4.01,3,51.5,,16,106,6.63,1,7.6,,
21,Wayne Morris\MorrWa00,1977,23,5-141,STL,NFL,12,7,165,661,4.01,8,55.1,,24,222,9.25,1,18.5,,
22,Ronnie Coleman\ColeRo00,1977,26,,HOU,NFL,14,13,185,660,3.57,5,47.1,,22,115,5.23,1,8.2,,
23,Rob Carpenter\CarpRo01,1977,22,3-84,HOU,NFL,11,7,144,652,4.53,1,59.3,,23,156,6.78,0,14.2,,
24,Tony Galbreath\GalbTo00,1977,23,2-32,NOR,NFL,14,14,168,644,3.83,3,46.0,,41,265,6.46,0,18.9,,
25,Benny Malone\MaloBe00,1977,25,2-47,MIA,NFL,14,8,129,615,4.77,5,43.9,,4,58,14.50,0,4.1,,
26,John Cappelletti\CappJo00,1977,25,1-11,RAM,NFL,14,14,178,598,3.36,5,42.7,,28,228,8.14,1,16.3,,
27,Clark Gaines\GainCl00,1977,23,,NYJ,NFL,14,13,158,595,3.77,3,42.5,,55,469,8.53,1,33.5,,
28,Pete Johnson\JohnPe00,1977,23,2-49,CIN,NFL,14,9,153,585,3.82,4,41.8,,5,49,9.80,0,3.5,,
29,Bobby Hammond\HammBo00,1977,25,,NYG,NFL,14,4,154,577,3.75,3,41.2,,19,136,7.16,0,9.7,,
30,O.J. Simpson*\SimpO.00,1977,30,1-1,BUF,NFL,7,7,126,557,4.42,0,79.6,,16,138,8.63,0,19.7,,
