,Rk,Player,Year,Age,Draft,Tm,Lg,G,GS,Att,Yds,Y/A,TD,Y/G,RECTgt,RECRec,RECYds,RECY/R,RECTD,RECY/G,RECCtch%,RECY/Tgt,TotYds,TotTD,TotY/G,MVP,color
1,2,Adrian Peterson\PeteAd01,2012,27,1-7,MIN,NFL,16,16.0,348,2097,6.03,12,131.1,51.0,40,217,5.43,1,13.6,78.4%,4.25,2314,13,144.7,1,crimson
19,20,LaDainian Tomlinson*\TomlLa00,2006,27,1-5,SDG,NFL,16,16.0,348,1815,5.22,28,113.4,80.0,56,508,9.07,3,31.8,70.0%,6.35,2323,31,145.20000000000002,1,crimson
10,11,Shaun Alexander\AlexSh00,2005,28,1-19,SEA,NFL,16,16.0,370,1880,5.08,27,117.5,29.0,15,78,5.2,1,4.9,51.7%,2.69,1958,28,122.4,1,crimson
161,162,Marshall Faulk*\FaulMa00,2000,27,1-2,STL,NFL,14,14.0,253,1359,5.37,18,97.1,113.0,81,830,10.25,8,59.3,71.7%,7.35,2189,26,156.39999999999998,1,crimson
4,5,Terrell Davis*\DaviTe00,1998,26,6-196,DEN,NFL,16,16.0,392,2008,5.12,21,125.5,38.0,25,217,8.68,2,13.6,65.8%,5.71,2225,23,139.1,1,crimson
3,4,Barry Sanders*\SandBa00,1997,29,1-3,DET,NFL,16,16.0,335,2053,6.13,11,128.3,50.0,33,305,9.24,3,19.1,66.0%,6.1,2358,14,147.4,1,white
96,97,Emmitt Smith*\SmitEm00,1993,24,1-17,DAL,NFL,14,13.0,283,1486,5.25,9,106.1,65.0,57,414,7.26,1,29.6,87.7%,6.37,1900,10,135.7,1,crimson
133,134,Thurman Thomas*\ThomTh00,1991,25,2-40,BUF,NFL,15,15.0,288,1407,4.89,7,93.8,,62,631,10.18,5,42.1,,,2038,12,135.9,1,crimson
24,25,Marcus Allen*\AlleMa00,1985,25,1-10,RAI,NFL,16,16.0,380,1759,4.63,11,109.9,,67,555,8.28,3,34.7,,,2314,14,144.60000000000002,1,crimson
31,32,Earl Campbell*\CampEa00,1979,24,1-1,HOU,NFL,16,16.0,368,1697,4.61,19,106.1,,16,94,5.88,0,5.9,,,1791,19,112.0,1,crimson
14,15,Walter Payton*\PaytWa00,1977,23,1-4,CHI,NFL,14,14.0,339,1852,5.46,14,132.3,,27,269,9.96,2,19.2,,,2121,16,151.5,1,crimson

